,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14,n1_high,n2_low,signal,keep,benchmark_profit,trend_profit
2016-06-06,220.68,220.9,215.45,0.772,218.0,218.99,2249508,20160606,0,721,7.205584468746977,6.4261830603964,257.38,204.02,,0.0,0.00768762173073125,0.0
2016-06-07,232.34,234.44,221.52,5.284,222.24,220.68,6213573,20160607,1,722,7.955076789769987,7.629358652343557,255.73,204.02,,0.0,0.05148812768109867,0.0
2016-06-08,235.52,240.845,232.605,1.369,233.8,232.34,5965210,20160608,2,723,9.065069808881809,9.300777498697752,255.0,207.3,,0.0,0.013594019455182673,0.0
2016-06-09,229.36,235.33,227.06,-2.615,234.98,235.52,4492075,20160609,3,724,8.9927907353471,9.163340498871387,253.43,207.3,,0.0,-0.026503013965396977,-0.0
2016-06-10,218.79,227.97,218.42,-4.6080000000000005,227.39,229.36,6026603,20160610,4,725,9.729809759406455,10.221561765688536,248.43,215.18,,0.0,-0.047180455910863096,-0.0
2016-06-13,222.46,225.68,219.4,1.6769999999999998,220.3,218.79,99338,20160613,0,726,9.750736144914958,10.186686863596728,243.19,215.18,,0.0,0.01663494449963197,0.0
2016-06-15,217.7,221.9,215.13,-2.14,216.95,222.46,2908522,20160615,2,727,9.479760131740871,9.731128615117164,240.845,215.13,,0.0,-0.02162934192338151,-0.0
2016-06-16,217.93,218.04,213.5,0.106,217.42,217.7,2440259,20160616,3,728,9.432509210673517,9.628311466434873,240.845,213.5,,0.0,0.0010559420672180703,0.0
2016-06-17,215.47,219.99,214.5,-1.129,217.81,217.93,3112620,20160617,4,729,9.07409928243047,9.076536604243557,240.845,213.5,,0.0,-0.011352221591577984,-0.0
2016-06-20,219.7,223.75,218.23,1.963,219.5,215.47,3555471,20160620,0,730,8.77827207493679,8.642331723677747,240.845,213.5,,0.0,0.019441290674422667,0.0
2016-06-21,219.61,222.56900000000002,218.81,-0.040999999999999995,220.68,219.7,4529005,20160621,1,731,8.625610977215269,8.436554160520721,240.845,213.5,,0.0,-0.00040973345136276294,-0.0
2016-06-22,196.66,205.95,195.75,-10.45,199.47,219.61,23742414,20160622,2,732,10.018737252013876,10.505013605784615,240.845,195.75,0.0,0.0,-0.11037689658719162,-0.0
2016-06-23,196.4,197.55,192.13,-0.132,195.69,196.66,10130748,20160623,3,733,11.60612477455807,12.768345125013331,240.845,192.13,,0.0,-0.0013229534316445636,-0.0
2016-06-24,193.15,195.12,189.73,-1.655,190.05,196.4,7026516,20160624,4,734,11.181022522325517,11.989899108344884,240.845,189.73,,0.0,-0.01668630680807517,-0.0
2016-06-27,198.55,198.81,187.87,2.7960000000000003,190.86,193.15,7220323,20160627,0,735,11.159111383932288,11.849912560565567,240.845,187.87,,0.0,0.027573868464970105,0.0
2016-06-29,210.19,211.78,203.0,5.8629999999999995,205.13,198.55,5994908,20160629,2,736,11.838283076302082,12.75392421915683,240.845,187.87,,0.0,0.05697092599462814,0.0
2016-06-30,212.28,213.5,209.02,0.9940000000000001,212.97,210.19,4843111,20160630,3,737,12.121166433001894,13.046734323269254,240.845,187.87,,0.0,0.009894274387805595,0.0
2016-07-01,216.5,218.24,206.0,1.9880000000000002,206.14,212.28,5399951,20160701,4,738,12.131969484547175,12.939169746833356,240.845,187.87,,0.0,0.01968438948285027,0.0
2016-07-05,213.98,214.54,208.0,-1.1640000000000001,209.73,216.5,5175345,20160705,1,739,11.623608622315613,12.08594711392224,240.845,187.87,,0.0,-0.011707994732084084,-0.0
2016-07-06,214.44,215.23,209.0,0.215,210.0,213.98,4919855,20160706,2,740,11.248735111196007,11.4744874987326,240.845,187.87,,0.0,0.0021474262488765223,0.0
2016-07-07,215.94,218.12,213.01,1.3330000000000002,213.1,213.1,3612022,20160707,3,741,10.690668282905461,10.625889165568255,240.845,187.87,,0.0,0.006970612359657437,0.0
2016-07-08,216.78,219.81,214.5,0.389,217.8,215.94,4074785,20160708,4,742,10.328789348095874,10.103770610159154,240.845,187.87,,0.0,0.0038824230686095255,0.0
2016-07-11,224.78,226.78,219.51,3.69,219.96,216.78,5429823,20160711,0,743,10.375263043723525,10.201934528804605,240.845,187.87,,0.0,0.0362391317025172,0.0
2016-07-12,224.65,227.5,223.22,-0.057999999999999996,224.1,224.78,4576165,20160712,1,744,10.406602767021388,10.271009924963995,240.845,187.87,,0.0,-0.0005785105739520676,-0.0
2016-07-13,222.53,225.59,220.29,-0.9440000000000001,225.5,224.65,3567062,20160713,2,745,9.942366151837627,9.608208601635463,240.845,187.87,,0.0,-0.00948171153814431,-0.0
2016-07-14,221.53,224.94,221.05,-0.449,223.12,222.53,2675834,20160714,3,746,9.392151047125115,8.845780788084067,240.845,187.87,,0.0,-0.0045039034834406105,-0.0
2016-07-15,220.4,222.75,219.64,-0.51,222.52,221.53,2234247,20160715,4,747,8.821046406477377,8.081010016339526,240.845,187.87,,0.0,-0.005113943215824594,-0.0
2016-07-18,226.25,227.09,218.3,2.654,219.64,220.4,3412055,20160718,0,748,8.818224005888524,8.175542014160921,240.845,187.87,,0.0,0.02619650530127604,0.0
2016-07-19,225.26,229.1,224.75,-0.43799999999999994,225.0,226.25,3115065,20160719,1,749,8.807476368989565,8.245469745606131,240.845,187.87,,0.0,-0.004385291960485035,-0.0
2016-07-20,228.36,229.8,225.0,1.376,226.47,225.26,2568498,20160720,2,750,8.44316033544506,7.786073779525315,240.845,203.0,,0.0,0.013668040476507994,0.0
2016-07-21,220.5,227.847,219.1,-3.4419999999999997,226.0,228.36,4428651,20160721,3,751,8.470782123131874,7.9141972755886085,240.845,206.0,,0.0,-0.0350256362091578,-0.0
2016-07-22,222.27,224.5,218.88,0.8029999999999999,221.99,220.5,2579692,20160722,4,752,8.56252920284716,8.122970972176796,240.845,206.0,,0.0,0.007995164209774575,0.0
2016-07-25,230.01,231.39,221.37,3.4819999999999998,222.27,222.27,4490683,20160725,0,753,8.774117457133785,8.491908175886563,235.33,208.0,,0.0,0.03422992714223751,0.0
2016-07-26,229.51,230.0,225.3,-0.217,227.69,230.01,3430042,20160726,1,754,8.679197688303443,8.39032041910169,231.39,209.0,,0.0,-0.0021761847028383976,-0.0
2016-07-27,228.49,233.36,226.92,-0.444,229.34,229.51,2889007,20160727,2,755,8.475634262094042,8.130277696554801,233.36,213.01,,0.0,-0.004454155835621374,-0.0
2016-07-28,230.61,230.76,226.6,0.9279999999999999,227.95,228.49,2419059,20160728,3,756,8.083303874630946,7.600907337014161,233.36,214.5,,0.0,0.009235526328697381,0.0
2016-07-29,234.79,235.28,230.24,1.8130000000000002,230.7,230.61,3070813,20160729,4,757,7.965730795119046,7.492786358745613,235.28,218.3,1.0,0.0,0.01796352558001571,0.0
2016-08-01,230.01,236.63,229.38,-2.036,235.5,234.79,4016284,20160801,0,758,7.900664359199133,7.460414844246198,236.63,218.3,,1.0,-0.02056871137025337,-0.02056871137025337
2016-08-02,227.2,229.87,221.4,-1.222,229.37,230.01,3934432,20160802,1,759,8.399694871999206,8.251026198346697,236.63,218.3,,1.0,-0.012292099391916458,-0.012292099391916458
2016-08-03,225.79,229.699,224.21,-0.621,227.37,227.2,3887759,20160803,2,760,8.163358974544723,7.92422270523379,236.63,218.3,,1.0,-0.006225323091759839,-0.006225323091759839
2016-08-04,230.6,230.86,222.05,2.13,225.82,225.79,139850,20160804,3,761,8.222144522313384,8.042326344535953,236.63,218.3,,1.0,0.021079244079722247,0.021079244079722247
2016-08-05,230.03,232.0,227.4,-0.247,230.0,230.6,3205215,20160805,4,762,8.039222293012173,7.798016165264501,236.63,218.3,,1.0,-0.0024748726350311495,-0.0024748726350311495
2016-08-08,226.16,229.6,226.09,-1.682,228.0,230.03,2263584,20160808,0,763,7.718383902738336,7.359614009895896,236.63,218.88,,1.0,-0.016967021814592562,-0.016967021814592562
2016-08-09,229.08,231.53799999999998,226.65,1.291,226.82,226.16,2207833,20160809,1,764,7.461076275216666,7.030065475243107,236.63,218.88,,1.0,0.012828574140321708,0.012828574140321708
2016-08-10,225.65,229.87,224.62,-1.4969999999999999,228.24,229.08,2338301,20160810,2,765,7.2600693411060595,6.792723411877359,236.63,218.88,,1.0,-0.015086161252646394,-0.015086161252646394
2016-08-11,224.91,227.57,223.41,-0.32799999999999996,226.17,225.65,1880936,20160811,3,766,7.115517582823687,6.643026956960373,236.63,218.88,,1.0,-0.0032848040899297964,-0.0032848040899297964
2016-08-12,225.61,226.65,224.04,0.311,225.41,224.91,1813540,20160812,4,767,6.705925075294261,6.105290029365658,236.63,221.37,,1.0,0.003107522699579527,0.003107522699579527
2016-08-15,225.59,229.5,224.93,-0.009000000000000001,226.02,225.61,2034328,20160815,0,768,6.513568250267518,5.9032513587835815,236.63,221.4,,1.0,-8.865248232762159e-05,-8.865248232762159e-05
2016-08-16,223.61,227.19,223.41,-0.878,225.49,225.59,2267147,20160816,1,769,6.265062045697743,5.6201511776124375,236.63,221.4,,1.0,-0.008815729400277786,-0.008815729400277786
2016-08-17,223.24,224.83,222.8,-0.165,224.33,223.61,1787127,20160817,2,770,5.949147314270669,5.242797687264104,236.63,221.4,,1.0,-0.0016560370798216239,-0.0016560370798216239
2016-08-18,223.51,225.66,222.29,0.121,223.82,223.24,1714467,20160818,3,771,5.714679376609699,4.993091328962224,236.63,221.4,,1.0,0.0012087298617710547,0.0012087298617710547
2016-08-19,225.0,225.169,222.53,0.667,223.54,223.51,1659530,20160819,4,772,5.435072160554273,4.679212485100596,236.63,221.4,,1.0,0.006644246422416296,0.006644246422416296
2016-08-22,222.93,225.11,222.68,-0.92,224.17,225.0,2065493,20160822,0,773,5.161883782322066,4.379317487087184,236.63,221.4,,1.0,-0.009242581366932545,-0.009242581366932545
2016-08-23,224.84,228.49,222.8,0.857,224.32,222.93,4784418,20160823,1,774,5.209894347565514,4.55407515547556,236.63,222.05,,1.0,0.008531217296386737,0.008531217296386737
2016-08-24,222.62,227.15,222.22,-0.987,227.05,224.84,2570693,20160824,2,775,5.184449406877741,4.604198468078819,236.63,222.05,,1.0,-0.00992275606879447,-0.00992275606879447
2016-08-25,220.96,223.8,220.77,-0.746,223.11,222.62,1762519,20160825,3,776,5.083135824434304,4.532972005668301,236.63,220.77,0.0,1.0,-0.007484592404097762,-0.007484592404097762
2016-08-26,219.99,222.855,218.82,-0.439,222.14,220.96,2238992,20160826,4,777,4.987850749485731,4.466575738245861,236.63,218.82,0.0,0.0,-0.004399598887164107,-0.0
2016-08-29,215.2,220.4,215.0,-2.177,220.15,219.99,3266334,20160829,0,778,5.076227954077936,4.6656989731464105,236.63,215.0,0.0,0.0,-0.022014262486188523,-0.0
2016-08-30,211.34,216.11,210.52,-1.794,216.11,215.2,3168862,20160830,1,779,5.475661776434485,5.306272443393553,236.63,210.52,0.0,0.0,-0.018099617274744528,-0.0
2016-08-31,212.01,212.6,208.65,0.317,210.43,211.34,3276548,20160831,2,780,5.573328887667712,5.47210278427441,236.63,208.65,,0.0,0.0031652323579879453,0.0
2016-09-01,200.77,211.1,200.5,-5.3020000000000005,209.01,212.01,7943138,20160901,3,781,6.052117170607009,6.18782241303782,236.63,200.5,0.0,0.0,-0.0544734691053855,-0.0
2016-09-02,197.78,203.2,196.2,-1.489,202.33,200.77,5977413,20160902,4,782,6.93919742782455,7.47077942463277,236.63,196.2,0.0,0.0,-0.01500467242364236,-0.0
2016-09-06,202.83,203.25,199.0,2.553,199.02,197.78,4390572,20160906,1,783,6.694724934385954,7.041342168015067,236.63,196.2,,0.0,0.0252128879288516,0.0
2016-09-07,201.71,206.497,200.71,-0.552,205.5,202.83,3640923,20160907,2,784,6.878568122169053,7.26476321227973,236.63,196.2,,0.0,-0.005537167457454919,-0.0
2016-09-08,197.36,199.89,196.36,-2.157,199.55,201.71,3377946,20160908,3,785,6.841425565608227,7.158794783975762,236.63,196.2,,0.0,-0.021801550092140087,-0.0
2016-09-09,194.47,199.92,193.7,-1.464,199.09,197.36,3756992,20160909,4,786,6.947659605098388,7.272288812778993,236.63,193.7,0.0,0.0,-0.014751562704310476,-0.0
2016-09-12,198.3,201.36900000000003,194.1,1.969,195.0,194.47,3715161,20160912,0,787,6.976872368271265,7.271850304408465,236.63,193.7,,0.0,0.01950312600895954,0.0
2016-09-13,196.05,198.49,193.45,-1.135,197.06,198.3,3589379,20160913,1,788,6.800793062064788,6.974270263820673,232.0,193.45,,0.0,-0.011411306787409647,-0.0
2016-09-14,196.41,197.925,194.856,0.184,195.75,196.05,2259231,20160914,2,789,6.4956300564225335,6.503567561977915,232.0,193.45,,0.0,0.0018345823827688814,0.0
2016-09-15,200.42,202.519,196.4,2.042,196.49,196.41,3085115,20160915,3,790,6.493209142202305,6.498958553714196,232.0,193.45,,0.0,0.020210853509073083,0.0
2016-09-16,205.4,205.7,199.0,2.485,200.42,200.42,3107808,20160916,4,791,6.7474628565475525,6.8710974132189735,232.0,193.45,,0.0,0.024544132864275085,0.0
2016-09-19,206.34,209.43,205.0,0.45799999999999996,207.0,205.4,2299498,20160919,0,792,6.95314805140687,7.156284424789784,231.53799999999998,193.45,,0.0,0.004565996177771907,0.0
2016-09-20,204.64,207.75,203.91,-0.8240000000000001,206.85,206.34,2410488,20160920,1,793,6.670134592188064,6.714113168151147,231.53799999999998,193.45,,0.0,-0.008272955841697382,-0.0
2016-09-21,205.22,207.0,201.56,0.28300000000000003,206.37,204.64,2633503,20160921,2,794,6.5583041747164215,6.544231412397661,229.87,193.45,,0.0,0.0028302366035305197,0.0
2016-09-22,206.43,207.28,203.0,0.59,206.4,205.22,2382902,20160922,3,795,6.351185613378565,6.242333890744639,229.5,193.45,,0.0,0.005878797448435074,0.0
2016-09-23,207.45,210.18,205.67,0.494,205.99,206.43,2905229,20160923,4,796,6.224714193980514,6.071356038645355,229.5,193.45,,0.0,0.004928974896378594,0.0
2016-09-26,208.99,211.0,206.5,0.742,206.5,207.45,2394358,20160926,0,797,6.074285630891375,5.87117523349264,229.5,193.45,,0.0,0.00739605715128306,0.0
2016-09-27,205.81,209.98,204.609,-1.5219999999999998,209.65,208.99,3373180,20160927,1,798,6.010350573537612,5.8044852023602855,228.49,193.45,,0.0,-0.015332990845791135,-0.0
2016-09-28,206.27,208.25,205.26,0.22399999999999998,207.51,205.81,2088374,20160928,2,799,5.803045975943277,5.527887175378906,228.49,193.45,,0.0,0.0022325771261341985,0.0
2016-09-29,200.7,207.33,200.58,-2.7,205.6,206.27,2727029,20160929,3,800,5.88913270540298,5.690835551995052,228.49,193.45,,0.0,-0.02737473440821052,-0.0
2016-09-30,204.03,204.98,199.55,1.659,202.21,200.7,2586273,20160930,4,801,5.964666095820885,5.828057478395705,228.49,193.45,,0.0,0.016455786053364577,0.0
2016-10-03,213.7,215.669,208.25,4.739,212.3,204.03,5999892,20161003,0,802,6.783241905291716,7.046849814609614,228.49,193.45,,0.0,0.04630612046944479,0.0
2016-10-04,211.41,213.32,208.82,-1.072,213.1,213.7,3541481,20161004,1,803,7.011129004810653,7.3459365059950015,228.49,194.856,,0.0,-0.010773786318061066,-0.0
2016-10-05,208.46,213.15,208.12,-1.395,212.24,211.41,1877534,20161005,2,804,6.881026368009683,7.110478305195667,227.15,196.4,,0.0,-0.014052199695864525,-0.0
2016-10-06,201.0,204.21,200.21,-3.5789999999999997,202.46,208.46,4703402,20161006,3,805,7.273660334554253,7.655747864502906,223.8,199.0,,0.0,-0.036442268252100465,-0.0
2016-10-07,196.61,201.32,195.8,-2.184,201.0,201.0,3493018,20161007,4,806,7.763327576867502,8.322981482569181,222.855,195.8,0.0,0.0,-0.022082836939676196,-0.0
