,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
87,000001.SZ,2013-01-04 13:33:00,16.07,16.07,16.06,16.06,60500.0,971709.0,20130104,16.07
88,000001.SZ,2013-01-04 13:32:00,16.09,16.09,16.06,16.07,51154.0,821935.0,20130104,16.08
89,000001.SZ,2013-01-04 13:31:00,16.08,16.09,16.07,16.08,21500.0,345693.0,20130104,16.08
90,000001.SZ,2013-01-04 13:30:00,16.1,16.11,16.07,16.08,13646.0,219462.0,20130104,16.08
91,000001.SZ,2013-01-04 13:29:00,16.08,16.09,16.07,16.08,215700.0,3468417.0,20130104,16.08
92,000001.SZ,2013-01-04 13:28:00,16.11,16.11,16.08,16.08,83000.0,1335682.0,20130104,16.11
93,000001.SZ,2013-01-04 13:27:00,16.1,16.12,16.09,16.11,103760.0,1671907.0,20130104,16.12
94,000001.SZ,2013-01-04 13:26:00,16.07,16.12,16.07,16.12,23600.0,380063.0,20130104,16.07
95,000001.SZ,2013-01-04 13:25:00,16.08,16.1,16.07,16.07,518115.0,8340216.0,20130104,16.08
96,000001.SZ,2013-01-04 13:24:00,16.07,16.08,16.06,16.08,32885.0,528678.0,20130104,16.07
97,000001.SZ,2013-01-04 13:23:00,16.06,16.08,16.06,16.07,18176.0,292039.0,20130104,16.06
98,000001.SZ,2013-01-04 13:22:00,16.05,16.07,16.05,16.06,15329.0,246074.0,20130104,16.05
99,000001.SZ,2013-01-04 13:21:00,16.07,16.07,16.04,16.05,58300.0,935663.0,20130104,16.05
100,000001.SZ,2013-01-04 13:20:00,16.07,16.08,16.05,16.05,101006.0,1623059.0,20130104,16.07
101,000001.SZ,2013-01-04 13:19:00,16.06,16.08,16.05,16.07,13000.0,208809.0,20130104,16.08
102,000001.SZ,2013-01-04 13:18:00,16.06,16.08,16.06,16.08,76061.0,1222475.0,20130104,16.07
103,000001.SZ,2013-01-04 13:17:00,16.07,16.07,16.06,16.07,26030.0,418142.0,20130104,16.07
104,000001.SZ,2013-01-04 13:16:00,16.05,16.07,16.05,16.07,64809.0,1040975.0,20130104,16.05
105,000001.SZ,2013-01-04 13:15:00,16.06,16.08,16.05,16.05,30804.0,494915.0,20130104,16.06
106,000001.SZ,2013-01-04 13:14:00,16.08,16.08,16.06,16.06,12251.0,196868.0,20130104,16.07
107,000001.SZ,2013-01-04 13:13:00,16.08,16.08,16.07,16.07,52900.0,850436.0,20130104,16.08
108,000001.SZ,2013-01-04 13:12:00,16.08,16.08,16.07,16.08,14745.0,237023.0,20130104,16.08
109,000001.SZ,2013-01-04 13:11:00,16.08,16.08,16.06,16.08,21600.0,347240.0,20130104,16.08
110,000001.SZ,2013-01-04 13:10:00,16.08,16.09,16.07,16.08,42085.0,676452.0,20130104,16.06
111,000001.SZ,2013-01-04 13:09:00,16.04,16.08,16.04,16.06,23300.0,374140.0,20130104,16.04
